Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
;LF0852;Les potes adon'fe 08;Base ULM ouverte tous types;14/04/2022;25/08/2025;27/08/2025;49.63504561239068,4.284686912125388;N 49 38 06;E 004 17 05;335 ft;Attention en longue finale de la 14, fils électrique sur votre gauche et un dénivelé à 300 m au seuil de la piste de 125 m. En 32, arbres du haut de la cime au seuil de la piste 180 m.  tel 06 24 66 29 29 ;1;herbe;'14;30;280;'14-32;herbe;;;;'Inconnue;125.335;A proximite ;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;alex.deligny.08@gmail.com;+33 6 24 66 29 29;Attention la piste est ouverte après qu'elle soit fauchée au mois de mai (à partir du 1 juin ou plus) et fermée  au 1 septembre tel 06 24 66 29 29 Altitude 102 / latitude 49.635118° / longitude 4.284540°        Piste  ferme 2025   tel  06 24 66 29 29;Association Les potes Adon'fe 08 
;LF0921;Aleu;AltiSurface en service ;08/03/2011;09/08/2025;18/12/2025;42.90035366895571,1.2752682209014665;N 42 54 01;E 001 16 31;3445 ft;"Piste concave de 11 à 20%, atterrissage en 10, décollage en 28, tour de piste main gauche. Utilisable en toutes saisons (sauf neige). Attention : possibilité d'ornières profondes..


Altisurface. fermée le 17/08/2025.


";2;herbe;'10;15;250;'10-28;herbe;;10;115;'17-35;123.065;Aucun;0;invalid;danielserres@sfr.fr;+33 6 88 23 79 26;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Formation préalable Vol montagne du PNVM fortement conseillée.


Notre bénévole Jean-Louis Vidal (06 78 78 94 64) est le plus au courant de l'état de la plate-forme.


En haut sur la plate forme, on est le long d'un talus vertical.


Attention aux grandes envergures.";Association des Pilotes Pyrénéens de Montagne
;LF0922;Artigat - Martin Gu'air;Base ULM Autorisation OBLIGATOIRE ;10/09/2011;25/12/2015;14/04/2023;43.146777013176,1.43996000289917;N 43 08 48;E 001 26 24;730 ft;"Seuils de pistes bien dégagés. 





Évitez de survoler le pâté de maison à l'ouest.";1;herbe;;25;200;'16-34;herbe;;;;'Inconnue;125.335;;;;;+33 6 72 21 92 57;"Ulm Ariege service


Figarol Pierre.06 08 94 19 34 ";Philippe DE ROALDES (Président)
oui;LF0923;Bethmale;Aérodrome fermé.;08/03/2011;25/12/2015;23/09/2016;42.883522365886,1.0812115899352648;N 42 53 01;E 001 04 52;3960 ft;situé sur une crête;1;herbe;;;230;'09-27;herbe;;;;'Inconnue;;;;;;+33 5 61 66 65 23;;
;LF0924;La Plagne Bouirex;AltiSurface en service ;08/03/2011;17/10/2015;03/11/2025;42.866667,1.138333;N 42 52 00;E 001 08 18;5249 ft;"Piste peu en pente, mais dévers sensible à droite à l'atterrissage. 


Trous de sangliers et taupinières.


Présence d'une bosse 30 mètres après l'entrée de piste, il est préférable de toucher après. 





Une rubalise en haut de la piste tient lieu de biroute.";1;herbe;'28;20;200;'08-26;;;;;;123.065;;0;invalid;;+33 6 78 78 94 64;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste sur http://pnvm-ffplum.fr/equipe





Notre bénévole Jean-Louis Vidal (06 78 78 94 64) est le plus au courant de l'état de la plateforme.";APPM Association Pyrénéenne des Pilotes de Montagne
;LF0925;Villeneuve du Latou;Aérodrome Privé Ouvert aux ULM;09/07/2011;25/12/2015;16/02/2016;43.204409420925614,1.4191460609436035;N 43 12 16;E 001 25 09;1330 ft;Aérodrome privé réservé à l'utilisation du propriétaire de sa famille et de ses invités.;1;herbe;;0;300;'05-23;herbe;;;;'Inconnue;;;;;;+33 5 61 34 93 96;Aérodrome privé réservé à l'utilisation du propriétaire de sa famille et de ses invités.;
oui;LF0926;Cérizols;!! Type de terrain mal défini !!;08/03/2011;25/12/2015;20/04/2021;43.128888888889,1.0694444444445708;N 43 07 44;E 001 04 10;;"EXCLUSIVEMENT RESERVE AUX BALLONS





aires agréées par l'Aviation Civile à CERIZOLS (09) ou LAFFITE-TOUPIERE (31), sont pour le moment les terrains d'où nous décollons";1;herbe;;;200;'omnidir;herbe;;;;'Inconnue;;;0;invalid;contact@ballon-bleu-horizon.fr;+33 6 98 19 30 00;"TERRAIN DE LA SOCIETE 'BALLON BLEU HORIZON'


INTERDIT AUX ULM


RESERVE AUX BALLONS";Ballon Bleu Horizon
oui;LF0927;Troye d'Ariège;Base ULM fermée définitivement;17/07/2011;19/07/2019;15/12/2024;43.02015275085169,1.8778091669082642;N 43 01 13;E 001 52 40;1378 ft;Tour de piste au sud, survol du hameau à l'Est de la piste et du village au Nord interdits.;1;herbe;'29;20;275;'11-29;herbe;;;;'Inconnue;125.335;non;0;invalid;jany.jacques@gmail.com;+33 6 88 50 60 85;Piste ouverte uniquement du 01 mai au 31 octobre.;Partag'Air
;LF0928;Ferme de Bon repos - Régat;Base ULM ouverte tous types;08/03/2011;11/08/2020;14/04/2023;42.983909248608,1.8935475767211756;N 42 59 02;E 001 53 37;1341 ft;"Nous n'avons pas de fréquence Sol. En vol local notre fréquence est 123.450 Mhz.


Par vent faible, Décollage,  privilégier  piste 10 en légère descente.


et 28 pour atterrissage


10 longer la colline par le sud. Att. ligne  


ULM rapide expérience exigé";1;herbe;'10;30;400;'10-28;herbe;;;;'Inconnue;125.335;Dépannage;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;funrunner3000@sfr.fr;+33 6 47 03 57 92;"Si possible, par politesse, prévenir pour être accueillis ou dépannés en carburant.


Resto en été, weekend hors saison et Gite à LERAN  2 km. Camping et restauration au lac de Montbel à 5 kms en été. Camping possible sur le terrain sans commodités.


Si vous n'êtes pas trop nombreux, possibilité transport et organisation des repas sur demande (demander Laurent 06 84 52 42 53).





";Bénédict De Bruyne et Laurent MILLER
;LF0951;Sarrat;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;25/12/2015;14/04/2023;43.20859536023596,1.708676322753945;N 43 12 31;E 001 42 31;846 ft;"Par le sud 


Ligne PTT à 40 mètres seuil de piste EST





Attention : le terrain est très près de la D59, raccourcir la finale en 11.";1;herbe;;30;300;'11-29;herbe;;;;'Inconnue;125.335;;0;invalid;gaston.dejean@orange.fr;+33 5 61 69 41 91;Aéromodélisme sur site (activité 9075, plafond 500ft) et à proximité (activité [en cours], plafond 500ft ASFC);Dejean Gaston
oui;LF0952;Fabas2;Altisurface fermée;27/05/2013;22/10/2015;25/04/2019;43.110407844557,1.1159371058146235;N 43 06 37;E 001 06 57;1299 ft;"Tour de piste au sud, main gauche.


Atterrissage possible uniquement en 31. 


Pente montante entre 1 et 6 %.


Ligne électrique surplombant le seuil 13 et le haut de la plate-forme.";1;herbe;'31;20;400;'13-31;herbe;;;;'Inconnue;130.00;Aucun;0;invalid;;+33 5 61 04 60 19;"Avions : Qualification Montagne requise.


ULM : Libre d'accès.


PILOTES ULM : Pour votre sécurité et pour obtenir les dernières consignes, veuillez contacter le PNVM (Pôle National Vol Montagne) au 0698282850 ou 0683512668.





Se renseigner sur le fauchage avant de se poser.";APPM
;LF0953;Ustou;AltiSurface en service ;04/12/2013;25/12/2015;16/09/2020;42.781388833333,1.2258328333334703;N 42 46 53;E 001 13 33;5896 ft;;1;neige;;30;250;'16-34;herbe;;;;'Inconnue;;;0;invalid;;+33 6 78 78 94 64;"Avions : Qualification Montagne requise.


ULM : Libre d'accès. Il est conseillé d’avoir au préalable suivi le cursus de formation au vol montagne proposé par le PNVM.


PILOTES ULM : Pour obtenir des informations par massif montagneux, vous pouvez vous renseigner auprès des instructeurs labellisés PNVM, liste des contacts sur http://pnvm-ffplum.fr/equipe";
;LF0954;Ercé;Base ULM ouverte tous types;04/02/2014;07/12/2019;18/12/2025;42.851111111111,1.2972222222222172;N 42 51 04;E 001 17 50;2730 ft;"Piste de type altisurface.


Après passage parallèle à la piste pour vérifier la présence éventuelle d'animaux, suivre l'axe de la vallée pour s'intégrer en longue finale 13.





Possibilité de remise des gaz pour dégagement vers la vallée.";1;herbe;'13;20;280;'13-31;herbe;;;;'Inconnue;123.065;;4;Gîte à proximité;c.koch@klima.fr;+33 6 25 89 70 84;"Piste ULM (INTERDITE AUX AVIONS)


Expérience Montagne impérative.


Très bon état de surface. Axe de la piste décalé. 





Faire une approche avec du moteur jusqu'au seuil de piste. 


Pente de 5% sur la première partie de la piste puis de 15% sur les 100 derniers mètres. 





Nos gîtes: (http://ariege-gite.com). Nous fournissons un véhicule pour les locataires arrivés par ulm.";Privé
;LF1021;Montardoise;Aérodrome Privé Ouvert aux ULM;22/09/2011;24/12/2015;27/05/2021;48.468027334654145,4.1977643966674805;N 48 28 05;E 004 11 52;580 ft;"Tour de piste au Sud 


avions 700 ft 


ULM 500 ft 


Le seuil 24 est préférentiel (piste en pente).";1;herbe;'24;40;800;'05-23;herbe;;;;'Inconnue;123.500;;0;invalid;;+33 3 25 37 50 28;PPR par tél. 03 25 37 50 28 - fax 03 25 37 50 27;
;LF1022;Ville sur Arce;Aérodrome Privé Ouvert aux ULM;08/03/2011;05/12/2019;06/12/2019;48.088211340842,4.4359163438721225;N 48 05 18;E 004 26 09;910 ft;;1;herbe;;;360;'11-29;herbe;;;;'Inconnue;;;0;invalid;;+33 3 25 38 76 46;;
oui;LF1052;Plancy - La Caroline ;Base ULM Autorisation OBLIGATOIRE ;09/03/2011;09/03/2011;0/00/0000;48.588056,3.993333;N 48 35 17;E 003 59 36;276 ft;;1;;;;;'Inconnue;;;;;;;;;;;;;
;LF1054;Viapres le petit;Base ULM Autorisation OBLIGATOIRE ;22/09/2011;15/06/2020;14/04/2023;48.56907711535286,4.032653641377819;N 48 34 09;E 004 01 58;250 ft;;1;herbe;;0;850;'02-20;herbe;;;;'Inconnue;125.335;;0;invalid;dmaitrot@gmail.com;+33 3 25 37 71 09;Attention : Nouvelle Plateforme, pas encore validee ...;
oui;LF1055;Romilly;Base ULM fermée définitivement;25/09/2011;24/12/2015;29/04/2019;48.500113859894,3.7542343139648438;N 48 30 00;E 003 45 15;256 ft;"TDP au sud 500 ft. Attention: paramoteurs majoritaires sur la plateforme. Évitez le survol des communes avoisinantes.


Aéromodélisme à 800m au sud-est de la piste: 1500 ft ASFC";1;herbe;;40;350;'10-28;herbe;;;;'Inconnue;123.5;95:600m,98:2 km;6,2,5;Restauration &agrave proximité, Hangar possible, Camping possible;ulm.romilly@free.fr;+33 6 60 50 70 83;"Avoir autorisation du président ou son représentant légal. 


PPR obligatoire, demande  sur le site internet du club.(http://altitude10000.free.fr) 


ATTENTION, importants travaux autour de la plateforme.


Fermeture définitive du terrain le 6 août 2018.";communauté de communes
;LF1056;Amance;HydroSurface Restreinte Autorisation OBLIGATOIRE ;01/06/2014;24/02/2016;31/05/2021;48.350833333333,4.5049999999999955;N 48 21 03;E 004 30 18;430 ft;"Eviter survol barrage et villages voisins.


L'arrêté précise : 


Bande d'envol : forme rectangulaire de 150 m par 40 m orientée sensiblement 050°/230° inscrite dans une zone de 600 m de diamètre.


";1;eau;;40;150;'05-23;herbe;;;;'Inconnue;123.500;;3,4,5;Restauration sur place, Gîte à proximité, Camping possible;aube.ulm@wanadoo.fr;+33 6 08 24 19 06;"Autorisation requise auprès du responsable de l'école Aube ULM-Ecole des Lacs : Salvatore Rusciani. Posé à Brienne-le-Château préalable pour briefing spécifique.

Ouverture avril à octobre.

Cale dans le port de Dienville, large et accessible pour remontée à sec.

Sur place : restauration, Camping avec possibilité location bungalows.";Aube-ULM Ecole des Lacs
;LF1057;Fontarce;Base ULM Accès privé;13/11/2021;13/11/2021;14/04/2023;48.1298159949366,4.599303135656729;N 48 07 47;E 004 35 57;804 ft;;1;herbe;;30;600;'15-33;herbe;;;;'Inconnue;125.335;;0;invalid;baptiste.martinot@gmail.com;+33 7 84 18 63 89;;
;LF1058;Vaujurennes;Base ULM Autorisation OBLIGATOIRE ;19/06/2025;22/06/2025;25/06/2025;48.189964044825736,3.703476451573353;N 48 11 24;E 003 42 13;740 ft;"Bois à 400 m du seuil de la 30. Ligne électrique à 380 m du seuil de la 12.


Pente de 2% sur le premier tiers de la 30.";1;herbe;;20;250;'12-30;herbe;;;;'Inconnue;125,335;possible;5;Camping possible;frederic.riche@orange.fr;+33 6 23 70 10 03;;Frédéric Riché
;LF1123;Baraigne;Base ULM Accès privé;02/08/2011;11/02/2021;14/04/2023;43.323429352646,1.833643913269043;N 43 19 24;E 001 50 01;920 ft;"Tour de piste au sud, éviter le survol des villages de Baraigne et Molleville.


Vent fréquent. Fortes turbulences par vent d'autan piste 11


Ne pas utiliser en l'absence de manche à air.


";1;herbe;;15;280;'11-29;herbe;;;;'Inconnue;125.335;;6;Restauration &agrave proximité;renaud.chassin@gmail.com;+33 7 85 04 02 83;"Extrémité piste 11 inclinée, prudence !


Turbulences piste 11 par vent d'autan.


Prudence renforcée si arrosage des terrains agricoles en prolongement pistes en raison des rampes et tuyauteries.


Ne pas utiliser en l'absence de manche à air.";"Aéroclub  	ulmiste Lauragais Mediterraneen Ganguise"
;LF1125;Nébias;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;02/03/2023;14/04/2023;42.89174527056504,2.123718399471727;N 42 53 30;E 002 07 25;1830 ft;"Tour de piste au sud des installations; non survol du village. 


Aérodrome à usage restreint PUIVERT (120.005) à proximité.";1;herbe;;20;370;'11-29;herbe;;;;'Inconnue;125.335;;6,4;Restauration &agrave proximité, Gîte à proximité;bostvironnois.m@orange.fr;;"La piste est à 800m du village.


Précaution, risque de trous à cause des sangliers


clôture électrique autour de la piste ";Bostvironnois Michel 
;LF1151;Fleury d'Aude;Base ULM Accès privé;28/09/2011;25/12/2015;21/10/2025;43.213564,3.129965;N 43 12 49;E 003 07 48;100 ft;"Eviter le survol à basse altitude des domaines et de la zone industrielle de Fleury.


La Base est implantée au sud de la TMA 7 de Montpellier (zone D 1500/FL 115).


Verticale installations à 1400ft QNH avant intégration en tour de piste à 600 ft QNH";2;herbe;'30;20;320;'12-30;herbe;;15;270;'14-32;125.335;NON;0;invalid;michel.tomas238@sfr.fr;+33 5 61 76 38 91;"Intégration verticale terrain à 1400ft/QNH, rejoindre début vent arrière dans l'ouest  du tour de piste, descendre à 600ft/QNH en virage retour vers vent arrière (voir photos 2 et 3)





Avant de venir vous poser, informez le propriétaire gestionnaire pour autorisation et conseils (voir infos administratives).





Les pistes sont bordées de fossés, soyez prudents.





Évitez le survol des domaines et de la zone artisanale.";
;LF1153;Limoux;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;18/02/2022;14/04/2023;43.057088147281,2.226425216918983;N 43 03 26;E 002 13 35;660 ft;"Tours de piste côté Est. Ne pas survoler la ville.


 Attention fortes turbulences par vent d'ouest.";1;herbe;;40;300;'01-19;herbe;;;;'Inconnue;125.335;;0;invalid;;+33 7 68 08 00 42;;Ville de Limoux
;LF1156;Ulm Saint Couat;Base ULM Accès privé;15/08/2011;13/02/2016;14/04/2023;43.211181528418,2.64646053314209;N 43 12 40;E 002 38 47;307 ft;"Tour de piste 500ft AAL (800 ft QNH)au Nord


Pas de survol d'agglomérations ou d'habitation isolée. 


Reconnaissance verticale 1000 ft AAL (1300 ft QNH) obligatoire. Approches directes interdites. 


Auto information radio recommandée";1;herbe;;20;240;'08-26;herbe;;;;'Inconnue;125.335;Sur demande;2,5,1;Hangar possible, Camping possible, Atelier ULM;jeanpierre.ferchal@nordnet.fr;+33 4 68 77 51 16;"Avant de venir : 


prévenir Mr FERCHAL Jean-Pierre, propriétaire gestionnaire (voir infos administratives).


Le site est très agréable. 


Atelier mécanique sur place.";Ferchal Jean-Pierre
oui;LF1157;Quéribus 900;Base ULM fermée définitivement;04/04/2012;25/12/2015;19/06/2016;42.85125228048874,2.5893644735548316;N 42 51 05;E 002 35 22;950 ft;;1;terre;;22;215;'14-32;herbe;;;;'Inconnue;Auto-info 123.5;;;;;+33 6 28 63 55 26;"Attention, très difficile d'accès (encaissé au fond de la vallée).


Impératif : Se renseigner auprès du gestionnaire sur l'état de la piste avant de venir.";Rodriguez Pascal 
;LF1158;Beaugaillard;Aérodrome Privé Ouvert aux ULM;23/05/2014;08/04/2022;10/04/2022;43.178611111111,1.951666666666597;N 43 10 43;E 001 57 06;1007 ft;"Circuit à 700 ft sol. 


Ce terrain est situé sous la R46 N1.


Inutilisable pendant les heures d'activité de la zone.


Éviter le survol des zones habitées cerclées de rouge sur la carte.


Seuil 16 décalé cause ligne HT  ";1;herbe;'34;30;600;'16-34;herbe;;;;'Inconnue;123.500;Aucun;2;Hangar possible;blancgabrielaf@aol.com;+33 4 68 24 74 18;"Accord impératif du propriétaire Mr Gabriel Blanc.


Forte activité PLANEUR avec TREUILLÉ  plafond 1700ft";Propriétaire
;LF1159;Argeliers;Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ;09/08/2014;17/01/2025;18/01/2025;43.308333333333,2.8933333333333167;N 43 18 30;E 002 53 36;140 ft;"Arrivée, départ et tour de piste uniquement par le sud des installations.


Procédure d'atterrissage spécifique. Briefing et test en vol par le responsable sécurité OBLIGATOIRE.


Aéronefs sans radio autorisés, assurer séparation, vigilance accrue. 


";1;herbe;'09;20;400;'09-27;herbe;;;;'Inconnue;125.335;supermarché 1Km;6,4,5;Restauration &agrave proximité, Gîte à proximité, Camping possible;sma34450@gmail.com;+33 6 58 77 02 90;"De classe UA la plateforme d'Argeliers est réservée aux membres de  l'association ULM 'Les Ailes Argeliésoises'  ainsi qu'à leurs invités autorisés.


Intense activité parapentiste à proximité de la piste : voir et éviter !


Survol des habitations d'Argeliers interdit en dessous de 1700 ft ASFC


Piste ULM fermée lorsque les zones E1 et E2 de la R46 sont actives.


Consultez le site du SIA avant le vol.


";Les Ailes Argeliésoises
;LF1160;Le Reuilh ;Base ULM Accès privé;08/02/2019;19/08/2022;21/04/2023;43.19265503019787,1.9787630965096241;N 43 11 34;E 001 58 44;1000 ft;"TDP à 1500FT SURVOL DES HABITATIONS INTERDIT


Auto-info sur 123.5 (proximité AD Beaugaillard) 


Route à faible trafic à 50m EST seuil 31 VIGILANCE


Seuil décalé piste 13 ligne Électrique


ULM rapide expérience exigée


R46 au SUD des installations";1;herbe;'31;35;350;'13-31;herbe;;;;'Inconnue;123.500;Sur demande ;4,5;Gîte à proximité, Camping possible;benizard11@gmail.com;+33 6 88 22 23 95;"Accord IMPERATIF du propriétaire pour poser. Compte tenu de la proximité avec l'aérodrome privé de Beaugaillard LF1158, l'auto-info se fait sur 123.5.


Par politesse, prévenir pour être dépanné en carburant ETC...


Plusieurs Gites à Proximité sur RESA


Ville de Castelnaudary - Mirepoix  à 20 km / Fanjeaux à 6Kms


Restaurant à 6kms.


";PROPRIETAIRE
;LF1161;Puichéric;Aérodrome Privé Ouvert aux ULM;11/02/2019;10/10/2023;12/11/2025;43.226436,2.587453;N 43 13 35;E 002 35 15;170 ft;"Tour de piste par le nord


Survol de la pisciculture interdite


Manche entre de piste";1;herbe;'08;28;410;'08-26;;;;;;125.335;Station proche;2,4,5,6;Hangar possible, Gîte à proximité, Camping possible, Restauration &agrave proximité;Apidoux@gmail.com;+33 6 11 75 03 40;Telephoner avant de venir 06 11 75 03 40;Prive
;LF1222;La Brousse Golinhac ;Aérodrome fermé.;08/03/2011;24/05/2022;25/05/2022;44.581002244498,2.591360481506399;N 44 34 52;E 002 35 29;2185 ft;"La piste présentant un dénivelé d'environ 5%, par vent nul ou faible l'atterrissage se fera en 31.





la piste est en bordure Est (et non Ouest) du chemin.          ";1;herbe;'31;25;550;'13-31;herbe;;;;'Inconnue;;;4;Gîte à proximité;michebenevole@gmail.com;+33 5 65 44 63 79;"A 500 m à l'est du hameau de la Brousse, au lieu-dit 'La Lande'





Hébergement 'cabanes' dans les arbres à 300 m


http://www.lescabanesdelo.fr/ 


réservation 06 71 62 32 40 - lescabanesdelo@gmail.com";Benezet Michel
oui;LF1224;Saint Rome du Tarn;Base ULM fermée définitivement;08/03/2011;08/03/2011;12/12/2013;44.038056,2.903332999999975;N 44 02 17;E 002 54 12;1818 ft;;1;herbe;;0;350;'Inconnue;;;;;;;;;;campingdelacascade@wanadoo.fr;+33 6 08 98 16 91;;
;LF1225;Graissac le Faula;Aérodrome privé fermé temporairement;08/03/2011;20/02/2025;21/02/2025;44.770830202424534,2.788560074096722;N 44 46 15;E 002 47 19;2800 ft;"Aérodrome privé de type altisurface.


Att. 13 - Déco. 31 - TDP main Gauche





Pas d'atterrissage si pas de manche à air (piste non praticable)





Attention :


seuil 13. ligne PTT 


seuil 31.Ligne HT à 300 m au sud";1;herbe;'13;20;550;'13-31;herbe;;;;'Inconnue;123.5;;0;invalid;emazard@club-internet.fr;+33 5 65 66 43 66;"02/2025 : Terrain non entretenu, suite décès propriétaire.





PPR obligatoire + contact la veille pour vérifier la disponibilité de la piste.





Possibilité de visiter le moulin à eau du XVème siècle sur place.";
;LF1226;Thérondels Douzalbats;Aérodrome Privé Ouvert aux ULM;08/03/2011;20/04/2024;22/04/2024;44.892996521416,2.718152740722644;N 44 53 35;E 002 43 05;3068 ft;"Tour de piste de préférence au sud face au hangar


atterrissage 08 main droite


décollage en 26";1;herbe;'08;75;600;'08-26;herbe;;;;'Inconnue;;;6,2,4;Restauration &agrave proximité, Hangar possible, Gîte à proximité;;+33 6 11 81 88 50;"pente 3 %





voie militaire basse altitude fréquents (R593)





gite et repas 


chez mr Jean-François Miquel à 4 km membre du club


Ailes du Carladez 


tél 05 65 66 02 72 fax 05 65 66 19 84


(au 20/09/2016 ; fermeture pour 3 mois )";
;LF1231;Villefranche de Panat;HydroSurface Restreinte Autorisation OBLIGATOIRE ;08/03/2011;12/03/2016;27/05/2021;44.09926473604485,2.6951764603271613;N 44 05 57;E 002 41 43;2385 ft;Eviter survol habitations et camping;1;eau;;;;'omnidir;herbe;;;;'Inconnue;123.500;SP95/98 500m;3,4;Restauration sur place, Gîte à proximité;paul.dellac@wanadoo.fr;+33 6 76 08 34 79;"Ponton et plage disponibles, slip étroit réservé Wheed de l'association Air des Lacs.


Accès réservé usagers ou aéronefs autorisés par gestionnaire Paul Dellac.


Vérifier auprès gestionnaire si niveau du barrage compatible avec activité avant tout vol.





Gîte pour 6 personnes disponible à proximité, renseignements auprès de l'association Air des Lacs.


Bar restaurant sur place au bord du lac ouvert en saison.";Paul Dellac
;LF1232;Ste Croix;Base ULM Autorisation OBLIGATOIRE ;17/08/2011;19/12/2015;14/04/2023;44.413888888889,1.9433333333333849;N 44 24 50;E 001 56 36;1128 ft;;1;herbe;;0;265;'12-30;herbe;;;;'Inconnue;125.335;;;;Marie-josee.ricard@wanadoo.fr;;;
;LF1233;Sarrans Cantoin;Base ULM accès libre Utilisation EPISODIQUE ;18/05/2011;20/02/2025;21/02/2025;44.82610843303149,2.8432059288024902;N 44 49 34;E 002 50 36;3140 ft;"Légérement montante en 26.


Merci de bien respecter les seuils de pistes décalés.


Merci de faire le tour de piste par le nord 





Attention à l'activation de la LF-R590B";1;herbe;'26;30;460;'08-26;herbe;;;;'Inconnue;125.335;SP98 S/demande;6,2,4,5;Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible;basc@sfr.fr;+33 6 78 37 72 44;"Nous pouvons vous proposer de l’essence sur demande.


Hangar possible


Il y a une table de pique nique avec un barbecue sur demande


On peut vous proposer des vélos pour de petits déplacements (restaurants, épicerie à 1500 mètres, gite à partir de 500 mètres).


Ecole d'attelage de l'Aubrac


Nicolas et Pascale Perrain +33 6 88 12 30 34








Pour plus d'infos, n'hésitez pas contacter Olivier au 06.78.377.244 ou à consulter www.basc.fr";BASC - Olivier LONGO BEDOS
;LF1251;Bozouls;Base ULM Autorisation OBLIGATOIRE ;25/08/2011;10/08/2024;11/08/2024;44.478112739021185,2.747279405593872;N 44 28 41;E 002 44 50;1991 ft;"Tour de piste au nord entre 600 et 800Ft/sol 


éviter de survoler les villages à basse altitude.


Roulage sur les pistes et taxiway uniquement (sinon risque de crevaison).";2;herbe;;25;375;'11-29;herbe;'36;22;210;'18-36;125.335;sur demande;6,2,4,5;Restauration &agrave proximité, Hangar possible, Gîte à proximité, Camping possible;andre.salelles@orange.fr;+33 06 18 44 37 97;"Restauration et gîtes en ville 1 km (Bozouls).


Si vous voulez ravitailler en carburant : prévenir par téléphone.";GAPULM
;LF1254;Saint Félix de Lunel;Base ULM Autorisation OBLIGATOIRE ;08/03/2011;18/07/2016;14/04/2023;44.562558342778,2.5420103227538675;N 44 33 45;E 002 32 31;1900 ft;"Contact téléphonique OBLIGATOIRE


Atterrissage uniquement en 18


Expérience montagne indispensable


Tour de piste à l'Est.";1;herbe;'18;50;290;'18-36;herbe;;;;'Inconnue;125.335;;6;Restauration &agrave proximité;;+33 5 65 44 64 90;"Plateforme privée, PPR à Mr Didier Quintard, 


Maison longue,12320 St-Félix-de-Lunel


phone : 05 65 44 64 90. ";
;LF1255;Barrage de Pareloup;HydroSurface Restreinte Autorisation OBLIGATOIRE ;01/08/2011;08/02/2024;11/02/2024;44.20675424055389,2.7440902638753255;N 44 12 24;E 002 44 39;2635 ft;"Eviter le survol à basse hauteur des plages, campings, ports et villages situés autour du lac.





Accès réservé aux seuls pilotes autorisés par le gestionnaire";1;eau;;0;0;'omnidir;herbe;;;;'Inconnue;123,5;;3;Restauration sur place;romanjeandaniel@gmail.com;+33 6 84 01 14 27;"Accès réservé au titulaire de l'arrêté Préfectoral, Jean-Daniel Roman. 


Les pilotes extérieurs peuvent utiliser le plan d'eau de façon ponctuelle et après accord préalable de JD Roman qui leur communiquera les consignes locales avant toute venue. 





Environnement sensible au bruit, nombreux campings et résidences secondaires autour du lac.


Forte activité nautique en saison.


Vérifier niveau lac avant tout amerrissage.";Roman Composites
oui;LF1256;Conques ;Base ULM fermée définitivement;16/01/2021;12/12/2024;15/12/2024;44.60888888888889,2.4280555555555554;N 44 36 32;E 002 25 41;1900 ft;;1;herbe;'35;10;90;'17-35;herbe;;;;'Inconnue;;;0;invalid;;;;
;LF1257;Lac de Maury;HydroSurface Restreinte Autorisation OBLIGATOIRE ;04/03/2023;06/03/2023;07/03/2023;44.66032952414913,2.6842343453089557;N 44 39 37;E 002 41 03;1935 ft;"Fort relief et ligne à haute tension à l'Est : Amerrissage en 09 et décollage en 27.


Tour de piste en évitant le survol du lieu-dit la Capelle.


";1;eau;;;1000;'09-27;herbe;;;;'Inconnue;123.500;;5;Camping possible;contact@association-francaise-hydraviation.fr;;Tout pilote désirant utiliser cette hydrosurface doit être membre actif de l'Association Française d'Hydraviation et doit avoir été autorisé de façon formelle par son président.;Association Française d'Hydraviation 
;LF1258;Sarrans;HydroSurface Restreinte Autorisation OBLIGATOIRE ;16/08/2023;31/08/2023;02/09/2023;44.84791836135841,2.750604535852048;N 44 50 53;E 002 45 02;2083 ft;"Site particulièrement sensible aux nuisances, éviter le survol des zones habitées et des campings.


";1;eau;;440;2900;'omnidir;herbe;;;;'Inconnue;123,5;;3,5;Restauration sur place, Camping possible;h.hmb@orange.fr;+33 6 08 71 57 57;"Accès strictement réservé aux membres de l'Association Française d'Hydraviation à jour de leur cotisation et autorisé par le gestionnaire. Briefing à signer avant tout amerrissage.


Ouvert hydravions et hydro-ULM. ";Association Française d'Hydraviation 
